binomial,mass.g,bmr.ml.O2.h
Lepus arcticus,3004.4,1082
Lepus californicus,2300,1311
Lepus timidus,3025,2118
Lepus townsendii,2430,1264
Oryctolagus cuniculus,2000,1140
Sylvilagus audubonii,672.4,438
Ochotona princeps,109,167
Ochotona dauurica,127.7,249
Elephantulus brachyrhynchus,45.3,43.7
Elephantulus edwardii,50,54.5
Elephantulus intufi,46.49,52
Elephantulus myurus,62.97,66.3
Elephantulus rozeti,45.31,47.8
Elephantulus rufescens,53,56.9
Macroscelides proboscideus,39,52.3
Petrodromus tetradactylus,206.11,179.5
Manis crassicaudata,15910,1241
Manis javanica,4220,1106
Manis tetradactyla,1430,229
Manis pentadactyla,3637.5,668
Manis tricuspis,1365,276
Callithrix jacchus,190,152
Cebuella pygmaea,116.8,117
Saguinus geoffroyi,225,234
Alouatta palliata,4670,2055
Aotus trivirgatus,820,442
Saimiri sciureus,875,801
Cercopithecus mitis,8500,3392
Colobus guereza,10450,2978
Erythrocebus patas,3000,1068
Papio anubis,9500,2778
Papio ursinus,16900,5147
Cheirogaleus medius,300,195
Propithecus verreauxi,3350,670
Eulemur fulvus,2330,746
Arctocebus calabarensis,206,131
Euoticus elegantulus,261.5,216
Galago moholi,170,51
Galago senegalensis,171.5,137
Galagoides demidoff,63.8,59
Loris tardigradus,284,128
Nycticebus coucang,1160,273
Otolemur crassicaudatus,950,412
Otolemur garnettii,1314,704
Perodicticus potto,964,327
Tarsius syrichta,113,77
Tarsius spectrum,173,149
Agouti paca,9156,2746.8
Aplodontia rufa,630,277.2
Bathyergus janetta,406,215.2
Bathyergus suillus,620,303.8
Cryptomys bocagei,94,69.6
Cryptomys damarensis,138,78.7
Cryptomys darlingi,60,58.8
Cryptomys hottentotus,75,67.5
Cryptomys hottentotus amatus,79.5,55.5
Cryptomys hottentotus natalensis,102,81.6
Cryptomys mechowi,267,160.2
Georychus capensis,195,115.7
Heliophobius argentocinereus,88,74.8
Heterocephalus glaber,32,20.5
Capromys pilorides,2630,604.9
Geocapromys ingrahami,775,265.8
Geocapromys brownii,2456,736.8
Cavia porcellus,629,346
Dolichotis salinicola,1613,725.9
Galea musteloides,322,264
Kerodon ruprestris,801,360.5
Microcavia niata,255,175.7
Chinchilla laniger,426,200.2
Lagostomus maximus,6784,1899.5
Ctenomys australis,340,116.6
Ctenomys fulvus,300,189
Ctenomys maulinus,215,187.1
Ctenomys opimus,214,109.7
Ctenomys peruanus,490,220.5
Ctenomys talarum,121,109.6
Dasyprocta azarae,3849,1886
Dasyprocta leporina,2687,1558.5
Myoprocta acouchy,914,502.7
Dipus sagitta?,160,121.2
Jaculus jaculus,75,92.3
Jaculus orientalis,139,139
Napaeozapus insignis,22,39.6
Sicista betulina,10,32
Zapus hudsonicus,23.8,35.7
Proechimys semispinosus,498,313.7
Thrichomys apereoides,323,206.7
Coendou prehensilis,3280,918.4
Erethizon dorsatum,11136,2784
Geomys bursaris,197,137.9
Geomys pinetis,173,133.2
Thomomys bottae,143,120.1
Thomomys talpoides,106.8,142
Thomomys umbrinus,85,72.3
Chaetodipus baileyi,29.1,34.5
Chaetodipus californicus,22,21.3
Chaetodipus fallax,19.6,26.9
Chaetodipus hispidus,39.5,49.4
Chaetodipus intermedius,15,17.9
Chaetodipus penicillatus,16,22.4
Dipodomys agilis,60.6,63.6
Dipodomys deserti,106,92.2
Dipodomys heermanni,63.3,73.2
Dipodomys merriami,36.5,42.5
Dipodomys microps,57.2,66.9
Dipodomys nitratoides,37.8,46.1
Dipodomys ordii,46.8,64.2
Dipodomys panamintinus,64.2,74.3
Heteromys anomalus,69.3,100.5
Heteromys desmarestianus,75.8,99.1
Liomys irroratus,48.1,53.9
Liomys salvani,43.8,46.9
Microdipodops megacephalus,11,30.2
Microdipodops pallidus,15.2,19.8
Perognathus flavus,8.3,17.3
Perognathus longimembris,8.9,9.5
Hydrochaeris hydrochaeris,26385,6596.3
Hystrix africaeaustralis,11300,2361.7
Abrothrix lanosus,24,45.6
Abrothrix longipilis,42.3,57.5
Acomys cahirinus,42,46.2
Acomys russatus,55.55,42.9
Acomys spinosissimus,27.02,44.1
Acomys subspinosus,32.25,83.4
Aethomys namaquensis,64.2,56.8
Akodon albiventer,31,46.5
Akodon azarae,24,40.8
Alticola argentatus,37.7,121
Apodemus flavicollis,23.9,43.3
Apodemus hermonensis,20.5,50
Apodemus mystacinus,40.4,56
Apodemus sylvaticus,23.9,43.3
