Binomial.1.2,mass.g,fmr.kJ.day,FMR.source,FMR.link,FMR.comment
Halichoerus_grypus,33400,10597,Sparling.2007,http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2435.2007.01368.x/full,Mean BM between start and finish
Halichoerus_grypus,38000,14950,Sparling.2007,http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2435.2007.01368.x/full,Mean BM between start and finish
Halichoerus_grypus,41700,14017,Sparling.2007,http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2435.2007.01368.x/full,Mean BM between start and finish
Halichoerus_grypus,42200,13648,Sparling.2007,http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2435.2007.01368.x/full,Mean BM between start and finish
Halichoerus_grypus,28800,11424,Sparling.2007,http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2435.2007.01368.x/full,Mean BM between start and finish
Halichoerus_grypus,40300,13504,Sparling.2007,http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2435.2007.01368.x/full,Mean BM between start and finish
Halichoerus_grypus,47050,14021,Sparling.2007,http://onlinelibrary.wiley.com/doi/10.1111/j.1365-2435.2007.01368.x/full,Mean BM between start and finish
Choloepus_hoffmanni,5930,772,Pauli.2016,http://www.journals.uchicago.edu/doi/10.1086/687032,
Choloepus_hoffmanni,4500,589,Pauli.2016,http://www.journals.uchicago.edu/doi/10.1086/687032,
Choloepus_hoffmanni,5900,768,Pauli.2016,http://www.journals.uchicago.edu/doi/10.1086/687032,
Choloepus_hoffmanni,6300,746,Pauli.2016,http://www.journals.uchicago.edu/doi/10.1086/687032,
Choloepus_hoffmanni,6400,1125,Pauli.2016,http://www.journals.uchicago.edu/doi/10.1086/687032,
Choloepus_hoffmanni,6600,848,Pauli.2016,http://www.journals.uchicago.edu/doi/10.1086/687032,
Choloepus_hoffmanni,6450,996,Pauli.2016,http://www.journals.uchicago.edu/doi/10.1086/687032,
Choloepus_hoffmanni,6470,803,Pauli.2016,http://www.journals.uchicago.edu/doi/10.1086/687032,
Choloepus_hoffmanni,5780,770,Pauli.2016,http://www.journals.uchicago.edu/doi/10.1086/687032,
Choloepus_hoffmanni,6230,1149,Pauli.2016,http://www.journals.uchicago.edu/doi/10.1086/687032,
Choloepus_hoffmanni,5570,1138,Pauli.2016,http://www.journals.uchicago.edu/doi/10.1086/687032,
Choloepus_hoffmanni,6230,808,Pauli.2016,http://www.journals.uchicago.edu/doi/10.1086/687032,
Bradypus_variegatus,4470,663,Pauli.2016,http://www.journals.uchicago.edu/doi/10.1086/687032,
Bradypus_variegatus,4600,499,Pauli.2016,http://www.journals.uchicago.edu/doi/10.1086/687032,
Bradypus_variegatus,4300,450,Pauli.2016,http://www.journals.uchicago.edu/doi/10.1086/687032,
Bradypus_variegatus,3720,372,Pauli.2016,http://www.journals.uchicago.edu/doi/10.1086/687032,
Bradypus_variegatus,4140,431,Pauli.2016,http://www.journals.uchicago.edu/doi/10.1086/687032,
Bradypus_variegatus,4090,214,Pauli.2016,http://www.journals.uchicago.edu/doi/10.1086/687032,
Bradypus_variegatus,3230,515,Pauli.2016,http://www.journals.uchicago.edu/doi/10.1086/687032,
Bradypus_variegatus,4680,513,Pauli.2016,http://www.journals.uchicago.edu/doi/10.1086/687032,
Bradypus_variegatus,3990,427,Pauli.2016,http://www.journals.uchicago.edu/doi/10.1086/687032,
Bradypus_variegatus,4230,515,Pauli.2016,http://www.journals.uchicago.edu/doi/10.1086/687032,
Bos_primigenius,687000,61523.28767,Brosh.2002,http://www.sciencedirect.com/science/article/pii/S0301622602000337,Energy balance data of six cows during a 1-year reproductive cycle devided by 365 days
