Species,Binomial.1.2,Taxonomy
Peromyscus_truei_truei,Peromyscus_truei,"Spelling and other changes, now follows SF_1.2"
Phyllotis_darwini_chilensis,Phyllotis_darwini,"Spelling and other changes, now follows SF_1.2"
Phyllotis_darwini_darwini,Phyllotis_darwini,"Spelling and other changes, now follows SF_1.2"
Phyllotis_darwini_rupestris,Phyllotis_darwini,"Spelling and other changes, now follows SF_1.2"
Rattus_lutreolis,Rattus_lutreolus,"Spelling and other changes, now follows SF_1.2"
Tatera_afra,Gerbilliscus_afra,"Spelling and other changes, now follows SF_1.2"
Tatera_leucogaster,Gerbilliscus_leucogaster,"Spelling and other changes, now follows SF_1.2"
Myoxus_glis,Glis_glis,"Spelling and other changes, now follows SF_1.2"
Muscardenis_avellanarius,Muscardinus_avellanarius,"Spelling and other changes, now follows SF_1.2"
Cynomys_ludovicanus,Cynomys_ludovicianus,"Spelling and other changes, now follows SF_1.2"
Epixerus_wilsoni,Epixerus_ebii,"Spelling and other changes, now follows SF_1.2"
Funisciurus_lemnisciatus,Funisciurus_lemniscatus,"Spelling and other changes, now follows SF_1.2"
Funisciurus_pyrrhopus,Funisciurus_pyrropus,"Spelling and other changes, now follows SF_1.2"
Paraxerus_palliatus_ornatus,Paraxerus_palliatus,"Spelling and other changes, now follows SF_1.2"
Paraxerus_palliatus_tongensis,Paraxerus_palliatus,"Spelling and other changes, now follows SF_1.2"
Spermophilus_parryi,Urocitellus_parryii,"Spelling and other changes, now follows SF_1.2"
Spermophilus_richardsoni,Urocitellus_richardsonii,"Spelling and other changes, now follows SF_1.2"
Spermophilus_satutatus,Callospermophilus_saturatus,"Spelling and other changes, now follows SF_1.2"
Tamiasciurus_hudsonicus_preblei,Tamiasciurus_hudsonicus,"Spelling and other changes, now follows SF_1.2"
Pltilocerus_lowii,Ptilocercus_lowii,"Spelling and other changes, now follows SF_1.2"
Zaedyus_pichi,Zaedyus_pichiy,"Spelling and other changes, now follows SF_1.2"
Antechinomys_laniger_?spenceri?,Antechinomys_laniger,"Spelling and other changes, now follows SF_1.2"
Antechinus_swainsoni,Antechinus_swainsonii,"Spelling and other changes, now follows SF_1.2"
Dasycercus_cristicaudata,Dasycercus_cristicauda,"Spelling and other changes, now follows SF_1.2"
Dasyurus_geoffroyi,Dasyurus_geoffroii,"Spelling and other changes, now follows SF_1.2"
Cercartetus_conncinnus,Cercartetus_concinnus,"Spelling and other changes, now follows SF_1.2"
Setonyx_brachyurus,Setonix_brachyurus,"Spelling and other changes, now follows SF_1.2"
Aepyprimnus_rufescens,Aepyprymnus_rufescens,"Spelling and other changes, now follows SF_1.2"
Echymipera_kalabu,Echymipera_kalubu,"Spelling and other changes, now follows SF_1.2"
Echymipera_rufescens_australis,Echymipera_rufescens,"Spelling and other changes, now follows SF_1.2"
Echymipera_rufescens_rufescens,Echymipera_rufescens,"Spelling and other changes, now follows SF_1.2"
Perameles_gunni,Perameles_gunnii,"Spelling and other changes, now follows SF_1.2"
Tachyglossus_setosus,Tachyglossus_aculeatus,"Spelling and other changes, now follows SF_1.2"
Alopex_lagopus,Vulpes_lagopus,Binomial.1.0
Galerella_sanguinea,Herpestes_sanguineus,Binomial.EltonTraits.1.0
Manis_tetradactyla,Phataginus_tetradactyla,Binomial.EltonTraits.1.0
Manis_tricuspis,Phataginus_tricuspis,Binomial.EltonTraits.1.0
Cryptomys_bocagei,Fukomys_bocagei,Binomial.EltonTraits.1.0
Cryptomys_damarensis,Fukomys_damarensis,Binomial.EltonTraits.1.0
Cryptomys_darlingi,Fukomys_darlingi,Binomial.EltonTraits.1.0
Cryptomys_mechowi,Fukomys_mechowi,Binomial.EltonTraits.1.0
Liomys_irroratus,Heteromys_irroratus,Binomial.EltonTraits.1.0
Spermophilus_armatus,Urocitellus_armatus,Binomial.EltonTraits.1.0
Spermophilus_beecheyi,Otospermophilus_beecheyi,Binomial.EltonTraits.1.0
Spermophilus_beldingi,Urocitellus_beldingi,Binomial.EltonTraits.1.0
Spermophilus_lateralis,Callospermophilus_lateralis,Binomial.EltonTraits.1.0
Spermophilus_mohavensis,Xerospermophilus_mohavensis,Binomial.EltonTraits.1.0
Spermophilus_spilosoma,Xerospermophilus_spilosoma,Binomial.EltonTraits.1.0
Spermophilus_tereticaudus,Xerospermophilus_tereticaudus,Binomial.EltonTraits.1.0
Spermophilus_townsendii,Urocitellus_townsendii,Binomial.EltonTraits.1.0
Spermophilus_tridecemlineatus,Ictidomys_tridecemlineatus,Binomial.EltonTraits.1.0
Spermophilus_undulatus,Urocitellus_undulatus,Binomial.EltonTraits.1.0
Tamias_alpinus,Neotamias_alpinus,Binomial.EltonTraits.1.0
Tamias_amoenus,Neotamias_amoenus,Binomial.EltonTraits.1.0
Tamias_merriami,Neotamias_merriami,Binomial.EltonTraits.1.0
Tamias_minimus,Neotamias_minimus,Binomial.EltonTraits.1.0
Tamias_palmeri,Neotamias_palmeri,Binomial.EltonTraits.1.0
Chaetophractus_nationi,Chaetophractus_vellerosus,Binomial.EltonTraits.1.0
Ningaui_yvonnae,Ningaui_yvonneae,Binomial.EltonTraits.1.0
Zaglossus_bruijni,Zaglossus_bruijnii,Binomial.EltonTraits.1.0
