Binomial.1.2,Order.1.2,Family.1.2,log10FMR,log10BM,FMR.source
Sciurus_carolinensis,Rodentia,Sciuridae,2.718501688867274,2.824776462475546,Hudson.2013
Sciurus_carolinensis,Rodentia,Sciuridae,2.680335513414563,2.7993405494535817,Hudson.2013
Sciurus_carolinensis,Rodentia,Sciuridae,2.6314437690131722,2.802089257881733,Hudson.2013
Sciurus_carolinensis,Rodentia,Sciuridae,2.6232492903979003,2.816241299991783,Hudson.2013
Sciurus_carolinensis,Rodentia,Sciuridae,2.7450747915820575,2.7671558660821804,Hudson.2013
Sciurus_carolinensis,Rodentia,Sciuridae,2.6748611407378116,2.7671558660821804,Hudson.2013
Sciurus_carolinensis,Rodentia,Sciuridae,2.734799829588847,2.7520484478194387,Hudson.2013
Sciurus_carolinensis,Rodentia,Sciuridae,2.663700925389648,2.7299742856995555,Hudson.2013
Sciurus_carolinensis,Rodentia,Sciuridae,2.496929648073215,2.7299742856995555,Hudson.2013
Sciurus_carolinensis,Rodentia,Sciuridae,2.515873843711679,2.696356388733332,Hudson.2013
Sciurus_carolinensis,Rodentia,Sciuridae,2.932980821923198,2.802089257881733,Hudson.2013
Sciurus_carolinensis,Rodentia,Sciuridae,2.6532125137753435,2.7134905430939424,Hudson.2013
Sciurus_carolinensis,Rodentia,Sciuridae,2.7641761323903307,2.651278013998144,Hudson.2013
Sciurus_carolinensis,Rodentia,Sciuridae,2.74350976472843,2.635483746814912,Hudson.2013
Sciurus_carolinensis,Rodentia,Sciuridae,2.8048206787211623,2.8419848045901137,Hudson.2013
Sciurus_carolinensis,Rodentia,Sciuridae,2.8524799936368566,2.808210972924222,Hudson.2013
Sciurus_carolinensis,Rodentia,Sciuridae,2.845098040014257,2.781755374652469,Hudson.2013
Sciurus_carolinensis,Rodentia,Sciuridae,2.845098040014257,2.7781512503836434,Hudson.2013
Sciurus_carolinensis,Rodentia,Sciuridae,2.8394780473741985,2.762678563727436,Hudson.2013
Sciurus_carolinensis,Rodentia,Sciuridae,2.782472624166286,2.802089257881733,Hudson.2013
Sciurus_carolinensis,Rodentia,Sciuridae,2.781755374652469,2.7745169657285498,Hudson.2013
Myrmecobius_fasciatus,Dasyuromorphia,Myrmecobiidae,2.490660653356137,2.737987326333431,Hudson.2013
Myrmecobius_fasciatus,Dasyuromorphia,Myrmecobiidae,2.2984163800612945,2.61066016308988,Hudson.2013
Myrmecobius_fasciatus,Dasyuromorphia,Myrmecobiidae,2.325720858019412,2.717670503002262,Hudson.2013
Myrmecobius_fasciatus,Dasyuromorphia,Myrmecobiidae,2.4186326873540653,2.6314437690131722,Hudson.2013
Myrmecobius_fasciatus,Dasyuromorphia,Myrmecobiidae,2.5593080109070123,2.716003343634799,Hudson.2013
Phocarctos_hookeri,Carnivora,Otariidae,4.702161438682992,5.118264726089479,Hudson.2013
Phocarctos_hookeri,Carnivora,Otariidae,4.714114537823623,4.926342446625655,Hudson.2013
Phocarctos_hookeri,Carnivora,Otariidae,4.712723707181042,5.039017321997412,Hudson.2013
Phocarctos_hookeri,Carnivora,Otariidae,4.705829760755148,5.02816441942447,Hudson.2013
Phocarctos_hookeri,Carnivora,Otariidae,4.73270113151941,5.092896010921856,Hudson.2013
Phocarctos_hookeri,Carnivora,Otariidae,4.672415903739816,5.023252459633712,Hudson.2013
Phocarctos_hookeri,Carnivora,Otariidae,4.756122159383971,5.078456818053293,Hudson.2013
Phocarctos_hookeri,Carnivora,Otariidae,4.734801749118226,5.038620161949702,Hudson.2013
Phocarctos_hookeri,Carnivora,Otariidae,4.677099049532233,5.039017321997412,Hudson.2013
Phocarctos_hookeri,Carnivora,Otariidae,4.749682923431016,5.075181854618692,Hudson.2013
Phocarctos_hookeri,Carnivora,Otariidae,4.793737651715721,5.189770956346874,Hudson.2013
Phocarctos_hookeri,Carnivora,Otariidae,4.724030891208781,4.971275848738105,Hudson.2013
Arctocephalus_galapagoensis,Carnivora,Otariidae,3.8368439955100824,4.504130905935453,Hudson.2013
Arctocephalus_galapagoensis,Carnivora,Otariidae,3.528429400423336,4.554489160003819,Hudson.2013
Arctocephalus_galapagoensis,Carnivora,Otariidae,3.477593510255522,4.596597095626461,Hudson.2013
Arctocephalus_gazella,Carnivora,Otariidae,4.121161173914333,4.48394371429042,Hudson.2013
Arctocephalus_gazella,Carnivora,Otariidae,4.1537640260571065,4.614105910958031,Hudson.2013
Arctocephalus_gazella,Carnivora,Otariidae,4.202293500197001,4.617419746737177,Hudson.2013
Arctocephalus_gazella,Carnivora,Otariidae,4.207323545815771,4.5941161937120105,Hudson.2013
Arctocephalus_gazella,Carnivora,Otariidae,4.365412740597927,4.471291711058939,Hudson.2013
Arctocephalus_gazella,Carnivora,Otariidae,4.360963318809538,4.662521737910115,Hudson.2013
Arctocephalus_gazella,Carnivora,Otariidae,4.27223785529044,4.520810931536473,Hudson.2013
Arctocephalus_gazella,Carnivora,Otariidae,4.322078461222114,4.384263785722803,Hudson.2013
Arctocephalus_gazella,Carnivora,Otariidae,4.442227936964175,4.509202522331103,Hudson.2013
Arctocephalus_gazella,Carnivora,Otariidae,4.280329850054518,4.605035549091256,Hudson.2013
Arctocephalus_gazella,Carnivora,Otariidae,4.454052716329475,4.606381365110605,Hudson.2013
Arctocephalus_gazella,Carnivora,Otariidae,4.454678461347786,4.59961018831862,Hudson.2013
Arctocephalus_gazella,Carnivora,Otariidae,4.29840676780341,4.464265934034075,Hudson.2013
Arctocephalus_gazella,Carnivora,Otariidae,4.543514395464528,4.545925329355843,Hudson.2013
Arctocephalus_gazella,Carnivora,Otariidae,4.545549451977302,4.560205622970059,Hudson.2013
Arctocephalus_gazella,Carnivora,Otariidae,4.357890592423816,4.506505032404872,Hudson.2013
Arctocephalus_gazella,Carnivora,Otariidae,4.362253323968137,4.48572142648158,Hudson.2013
Arctocephalus_gazella,Carnivora,Otariidae,4.42058498310108,4.474762432014811,Hudson.2013
Arctocephalus_gazella,Carnivora,Otariidae,4.6220055779362434,4.6020599913279625,Hudson.2013
Arctocephalus_gazella,Carnivora,Otariidae,4.2268255456857196,4.469453813767127,Hudson.2013
Arctocephalus_gazella,Carnivora,Otariidae,4.250097313890353,4.41954272470028,Hudson.2013
Arctocephalus_gazella,Carnivora,Otariidae,4.479319258632921,4.52244423350632,Hudson.2013
Arctocephalus_gazella,Carnivora,Otariidae,4.30246292029144,4.440121603187804,Hudson.2013
Arctocephalus_gazella,Carnivora,Otariidae,4.216636638781201,4.377032909310364,Hudson.2013
Arctocephalus_gazella,Carnivora,Otariidae,4.4197507527522895,4.468716471515473,Hudson.2013
Aplodontia_rufa,Rodentia,Aplodontiidae,3.17666993266815,2.8959747323590648,Hudson.2013
Aplodontia_rufa,Rodentia,Aplodontiidae,3.351409751925439,2.9590413923210934,Hudson.2013
Aplodontia_rufa,Rodentia,Aplodontiidae,3.184691430817599,2.886490725172482,Hudson.2013
Aplodontia_rufa,Rodentia,Aplodontiidae,3.083860800866573,2.7937903846908188,Hudson.2013
Aplodontia_rufa,Rodentia,Aplodontiidae,2.976808337338066,2.739572344450092,Hudson.2013
Lontra_canadensis,Carnivora,Mustelidae,3.7350397050337207,3.8372727025023003,Hudson.2013
Lontra_canadensis,Carnivora,Mustelidae,3.599773939146388,3.844166410450201,Hudson.2013
