Binomial.1.2,Order.1.2,Family.1.2,log10BM,log10MR,MR,source
Lepilemur_ruficaudatus,Primates,Lepilemuridae,2.973243342094437,2.775064051018494,FMR,Hudson.2013
Lepilemur_ruficaudatus,Primates,Lepilemuridae,2.819214799882384,2.3402457615679317,FMR,Hudson.2013
Lepilemur_ruficaudatus,Primates,Lepilemuridae,2.919862253555538,2.9307962629833004,FMR,Hudson.2013
Lepilemur_ruficaudatus,Primates,Lepilemuridae,2.8810992183890174,2.627263416568221,FMR,Hudson.2013
Lepilemur_ruficaudatus,Primates,Lepilemuridae,2.8654001181793016,2.4328090050331683,FMR,Hudson.2013
Lepilemur_ruficaudatus,Primates,Lepilemuridae,2.8683504996479683,2.9148718175400505,FMR,Hudson.2013
Lepilemur_ruficaudatus,Primates,Lepilemuridae,2.7101173651118162,2.6034691597338386,FMR,Hudson.2013
Lepilemur_ruficaudatus,Primates,Lepilemuridae,2.6720978579357175,2.383456296524753,FMR,Hudson.2013
Phascolarctos_cinereus,Diprotodontia,Phascolarctidae,3.8512583487190755,3.1086969155788893,FMR,Hudson.2013
Phascolarctos_cinereus,Diprotodontia,Phascolarctidae,3.7993405494535817,3.0621079498184622,FMR,Hudson.2013
Phascolarctos_cinereus,Diprotodontia,Phascolarctidae,3.963787827345555,3.253318616746809,FMR,Hudson.2013
Phascolarctos_cinereus,Diprotodontia,Phascolarctidae,3.9111576087399764,3.1818050140244862,FMR,Hudson.2013
Phascolarctos_cinereus,Diprotodontia,Phascolarctidae,3.8512583487190755,3.258904145781631,FMR,Hudson.2013
Phascolarctos_cinereus,Diprotodontia,Phascolarctidae,3.806179973983887,3.1881970165587554,FMR,Hudson.2013
Phascolarctos_cinereus,Diprotodontia,Phascolarctidae,3.8195439355418688,2.8917938331553836,FMR,Hudson.2013
Lasiorhinus_krefftii,Diprotodontia,Vombatidae,4.437726786924222,3.529330239490453,FMR,Hudson.2013
