(Intercept),log10BM,MR.typeFMR,log10BM:MR.typeFMR,random.effect,tree,chain
-0.15683360751063447,0.722135532363609,0.5686178132455098,-0.039960493944818154,0.37987852151409607,2,1
0.16351137300080154,0.7491056355356704,0.603726506124076,-0.04720398303470574,-7.14388837889854e-4,2,1
-0.10022280928387772,0.7374248383712256,0.55376751498261,-0.028201393884955905,0.28713364719982704,2,1
0.2516968590061879,0.735891944670584,0.5973018381628208,-0.04875028074457077,0.37987852151409607,2,2
-0.055434160774893826,0.742345272374223,0.609853269510495,-0.051938653512479505,-7.14388837889854e-4,2,2
0.30962492794787977,0.7410095315426588,0.6107216573291225,-0.04235602937114891,0.28713364719982704,2,2
0.24832641215834883,0.7240514689583506,0.5967252443660982,-0.05450856303650653,0.37987852151409607,2,3
0.0731175840483047,0.7437256077282655,0.5903151711704595,-0.04710761358728632,-7.14388837889854e-4,2,3
-0.321446824229497,0.7283178398956807,0.6019485867582262,-0.04939658263901947,0.28713364719982704,2,3
0.12738817761055543,0.7141640883733089,0.6018737400445389,-0.043582654965575784,0.11261392398501557,3,1
-0.16683872762223473,0.7324239075096557,0.6030251060656155,-0.050412162687280215,0.3619682696291429,3,1
-0.14539151645294623,0.7413079389370978,0.6415452244036715,-0.05793246818939224,0.3297517924282529,3,1
-0.06282427009136882,0.7427928625729692,0.5708497422601795,-0.04003070370526984,0.11261392398501557,3,2
0.019084752872004174,0.738757650993648,0.5951773360866355,-0.04675728612346575,0.3619682696291429,3,2
0.1657843355096702,0.7241074730636683,0.6016280884796288,-0.04850230089505203,0.3297517924282529,3,2
0.056822877220838564,0.7374641051719664,0.6070212356426055,-0.045712770472164266,0.11261392398501557,3,3
-0.06966765368269989,0.734090039783041,0.579665906552691,-0.04219062993070111,0.3619682696291429,3,3
0.16458716477791313,0.7478366507857572,0.6048114243458258,-0.05154916562605649,0.3297517924282529,3,3
0.07426116691203788,0.721875167946564,0.6185548079083674,-0.05561364380264422,0.143987351673834,5,1
0.15998343656247016,0.7448255235212855,0.6253920799717889,-0.05386731203907402,0.0040012227023922655,5,1
0.001547660111100413,0.7480630595455295,0.6227226601622533,-0.05539282166864723,0.16118440454832406,5,1
0.3851726753200637,0.7293298573640641,0.6256183767472976,-0.05509034612623509,0.143987351673834,5,2
-0.18963408426498063,0.7357208371868182,0.5967595715956122,-0.04275136112119071,0.0040012227023922655,5,2
-0.23776059893862111,0.7534021724422928,0.6128686226438731,-0.05065816090791486,0.16118440454832406,5,2
-0.05253880855161697,0.7372216292569647,0.5647184753179317,-0.03223204889218323,0.143987351673834,5,3
-0.2776755823142594,0.7501923429108501,0.6172794911180972,-0.05284172997926362,0.0040012227023922655,5,3
-0.08516925924050156,0.7233222551585641,0.6065802006978629,-0.04948387204785831,0.16118440454832406,5,3
-0.006377284313202836,0.7350344863079954,0.5894291356526082,-0.04702898908726638,0.20218888964229662,6,1
0.023358361053396948,0.7427767191516068,0.5793525334593141,-0.040403213090030476,0.14615186234539654,6,1
0.009014744544401765,0.732816475967411,0.5531545541307423,-0.03855199841200374,0.1900789130782537,6,1
-0.4273042739368975,0.7363812657968083,0.6066145766526461,-0.051462836760038044,0.20218888964229662,6,2
-0.10897251378628425,0.7335556944526616,0.5478099301108159,-0.029126229783287272,0.14615186234539654,6,2
-0.12877403219681582,0.7376270385721,0.5734351877472363,-0.04071160717285238,0.1900789130782537,6,2
0.04391154828044819,0.7299077958377893,0.5843473649583757,-0.04447012013406493,0.20218888964229662,6,3
-0.042041992652229965,0.7512335736391833,0.6326910147909075,-0.05726686959678773,0.14615186234539654,6,3
-0.2842999891836371,0.7328277540800627,0.5795200296870462,-0.041261719841713784,0.1900789130782537,6,3
-0.1670426102646161,0.7444059941335581,0.5972139071318452,-0.050319621281232685,0.3374145957438751,1,1
-0.0710237803250493,0.7256990313326241,0.5608982037592796,-0.03500953690672759,0.2775389955189275,1,1
-0.04573670541140018,0.732587067206623,0.565745453517593,-0.03339850535849109,0.2381537344325424,1,1
-0.11460978857940063,0.7383991303468065,0.607460231703044,-0.047506305327260634,0.3374145957438751,1,2
-0.16662580132833682,0.7251729643612634,0.559881358029088,-0.03008579186280258,0.2775389955189275,1,2
0.24744693247339455,0.7275710099656862,0.6068121106654871,-0.04703835090913344,0.2381537344325424,1,2
0.17511070845648646,0.7274120980146108,0.5567893796687713,-0.038138661824632436,0.3374145957438751,1,3
-0.0696993277524598,0.7155149121972499,0.6345978359750006,-0.054657120861520525,0.2775389955189275,1,3
-0.004947513413753768,0.7466771522158524,0.5767160642863018,-0.03656235741073033,0.2381537344325424,1,3
0.01151577640234791,0.7286420955279027,0.5999754022486741,-0.04044926443020813,0.17542652317056528,4,1
0.1533887291152496,0.7349478429969167,0.6364261181006441,-0.05902634034282528,0.02288007198945037,4,1
0.08583214682585094,0.7454179369815392,0.5809017290157499,-0.04077087453333661,0.08680963788214152,4,1
0.12259006870590383,0.7353778038814198,0.608272215920806,-0.053939638019073755,0.17542652317056528,4,2
0.122590261795267,0.7302234745438909,0.5941849221999291,-0.043441337591502815,0.02288007198945037,4,2
0.37151487590017496,0.7425521845507319,0.5951657358673401,-0.045466650364687666,0.08680963788214152,4,2
0.11436793571192538,0.7311619287356734,0.5730766889173537,-0.03884603387268726,0.17542652317056528,4,3
0.08093425956030842,0.7317249398038257,0.6538680032244883,-0.0671897091815481,0.02288007198945037,4,3
0.12374090810772032,0.7377487289486453,0.5978320182621246,-0.05253597995033488,0.08680963788214152,4,3
-0.30547690984531073,0.7317578825018245,0.5883243511125329,-0.04198626030120067,0.5011892900732499,8,1
-0.013105497491778806,0.7331126200006111,0.5984324126911815,-0.04698620668204967,0.19999040602084622,8,1
-0.1177359435823746,0.7386957331391386,0.5724396653531585,-0.04287931555882096,0.30187580154032756,8,1
0.012873382671386935,0.7459723656647839,0.5799579865674787,-0.04205737767915707,0.5011892900732499,8,2
-0.1302533259440679,0.7415682153077796,0.555339123995509,-0.03482300449104514,0.19999040602084622,8,2
-0.17154924519127235,0.7459484082354493,0.5943945653600622,-0.04542020010194392,0.30187580154032756,8,2
0.2572533535421826,0.7571327221230604,0.6183744069803652,-0.04853530057516764,0.5011892900732499,8,3
-0.2626052814157447,0.7381903126079123,0.581772362726042,-0.04549354370101355,0.19999040602084622,8,3
0.13400382778490894,0.7429981303648674,0.5873853182129096,-0.043963323201751336,0.30187580154032756,8,3
0.1486607368424302,0.7295980188209796,0.5890747065204778,-0.04631941081606783,0.04994974893998336,7,1
0.03887580104492372,0.7521839866458322,0.6097486431383459,-0.051975603637401946,0.1128574834008165,7,1
-0.10504836752079427,0.7286415366397705,0.6011075896858529,-0.04188624143898778,0.3038077826129039,7,1
0.15420559277117718,0.737814727704972,0.6027798571703897,-0.04747120013780659,0.04994974893998336,7,2
-0.17108161991927773,0.7476772267073102,0.5913890295269084,-0.04013601710903458,0.1128574834008165,7,2
0.16109119356406154,0.7326016489096219,0.6103341624475433,-0.05250589955539908,0.3038077826129039,7,2
-0.06325265706618666,0.7569657305029978,0.6067189926543506,-0.05226910950659658,0.04994974893998336,7,3
-0.07644693054317031,0.7290773806380457,0.5795715660788119,-0.04082247749238377,0.1128574834008165,7,3
-3.849374843412079e-4,0.7196756044140784,0.6084833337954478,-0.04590997911964223,0.3038077826129039,7,3
-0.12656323410828918,0.7343971457399903,0.599794865003787,-0.04793801298364997,0.30911982443671954,9,1
0.11874210594396573,0.7429709311682018,0.5821616740286117,-0.04177511777925247,0.05552113597200376,9,1
0.12167944507382344,0.7589028161601163,0.6449709315347718,-0.05828644441498909,0.004085930539083168,9,1
0.24669378888211213,0.7385347128256399,0.5653517982136691,-0.03765559366365778,0.30911982443671954,9,2
-0.04929234235896729,0.7281018396024592,0.606683631274791,-0.0473483217328976,0.05552113597200376,9,2
-0.07906360582273919,0.7482691328477813,0.6096064313169336,-0.05140348520944826,0.004085930539083168,9,2
0.32800483632308897,0.7296094972116407,0.6052646124444436,-0.045121205497707706,0.30911982443671954,9,3
-0.06963893292777357,0.7507999185181689,0.6079615065827966,-0.05333657932351343,0.05552113597200376,9,3
0.1512462054961361,0.7429341708630091,0.5910829363274388,-0.04158231477777008,0.004085930539083168,9,3
0.11926914296782343,0.7234646837459877,0.5908409839175874,-0.046809945237328066,0.10163123317428938,12,1
-0.08360630861989193,0.7254451496701222,0.5915448268060572,-0.04748635565920267,0.2925391170786192,12,1
0.04451932945812587,0.7539864700229373,0.5744705748475099,-0.0472377375990618,0.09734013974967984,12,1
0.14949472049920587,0.7474385561654344,0.6011456225969596,-0.05131296142280917,0.10163123317428938,12,2
0.043883891426958144,0.7440161278209416,0.5924631280649919,-0.04573024819546845,0.2925391170786192,12,2
0.11252264831637149,0.7393363838200457,0.6090307621634565,-0.048444850952364504,0.09734013974967984,12,2
0.20363530797476415,0.7450482650583581,0.5853473103252327,-0.045127727678845986,0.10163123317428938,12,3
-0.10398377489764243,0.7388310001115315,0.5888128682272509,-0.03877123749407474,0.2925391170786192,12,3
-0.020174505014438182,0.7458169756246207,0.5985585370945046,-0.04385883105715038,0.09734013974967984,12,3
-0.023590120226799627,0.7197130445274524,0.6533015768945916,-0.06201141607016325,0.24382757500885274,10,1
-0.2444003315322334,0.7400691292496049,0.6204456374107394,-0.05327807247522287,0.42618210906014475,10,1
-0.06403034535469487,0.7220241805698606,0.5790668785921298,-0.03476306371521787,0.2765711714628223,10,1
0.14520633417123463,0.7470599560037954,0.595944254702772,-0.04542235698681907,0.24382757500885274,10,2
-0.11783495409690659,0.7366911422577687,0.6073571102460846,-0.04923062141460832,0.42618210906014475,10,2
0.10557453955470919,0.7332523764071084,0.5954208596085664,-0.04508400442136917,0.2765711714628223,10,2
-0.1708178381813923,0.7296608100587036,0.5986383457202464,-0.04443010647082701,0.24382757500885274,10,3
-0.04848425264390244,0.7427156597732392,0.5735251459304891,-0.04233578947605565,0.42618210906014475,10,3
-0.039428023911568744,0.7441514483653009,0.6224751045083394,-0.04703420930309221,0.2765711714628223,10,3
-0.03385670675197616,0.7533487378095742,0.5951388200628571,-0.04760194179834798,0.1947847626614696,11,1
0.13135625166614773,0.7403343325058813,0.619630075427267,-0.049858686776133254,0.05618338500529893,11,1
-0.15797692412161268,0.7354699531861115,0.5853996348232613,-0.04256563950730197,0.3540197882259536,11,1
-0.22251588595827343,0.7365112770348787,0.6109755554825824,-0.049170620244694874,0.1947847626614696,11,2
-0.17769593321281718,0.7411331463372335,0.5673491841735085,-0.03927492236834951,0.05618338500529893,11,2
-0.050581222836626694,0.736818329023663,0.6206145555479452,-0.05142557377985213,0.3540197882259536,11,2
0.4244160258676857,0.7363078296964716,0.5911879752384266,-0.04225584788946435,0.1947847626614696,11,3
-0.03233925095992163,0.731568646755477,0.590918720321497,-0.04349975139484741,0.05618338500529893,11,3
-0.1386272569943685,0.738761364507809,0.6222417008830234,-0.05550237621355336,0.3540197882259536,11,3
-0.18047090169784497,0.7356408286977967,0.5761249308270635,-0.04050598693720531,0.37467787322637586,14,1
