Binomial.1.2,Order.1.2,Family.1.2,log10BMR,log10BM,BMR.source
Chrysochloris_asiatica,Afrosoricida,Chrysochloridae,1.394912904681592,1.6434526764861874,WhiteSeymore.2003
Eremitalpa_granti,Afrosoricida,Chrysochloridae,0.683105675640401,1.3010299956639813,WhiteSeymore.2003
Atelerix_albiventris,Eulipotyphla,Erinaceidae,1.854832129293632,2.6532125137753435,WhiteSeymore.2003
Echinosorex_gymnura,Eulipotyphla,Erinaceidae,2.3862250218764793,2.8580557180503643,WhiteSeymore.2003
Erinaceus_concolor,Eulipotyphla,Erinaceidae,2.2236853921448554,2.9152414973061944,WhiteSeymore.2003
Erinaceus_europaeus,Eulipotyphla,Erinaceidae,2.211379452807445,2.8750612633917,WhiteSeymore.2003
Hemiechinus_auritus,Eulipotyphla,Erinaceidae,1.8649492635851737,2.6020599913279625,WhiteSeymore.2003
Hylomys_suillus,Eulipotyphla,Erinaceidae,1.4619801476431407,1.761927838420529,WhiteSeymore.2003
Paraechinus_aethiopicus,Eulipotyphla,Erinaceidae,1.7342581980877825,2.6532125137753435,WhiteSeymore.2003
Blarina_brevicauda,Eulipotyphla,Soricidae,1.5000095150160613,1.3117538610557542,WhiteSeymore.2003
Blarina_carolinensis,Eulipotyphla,Soricidae,1.2107355765117398,1.0086001717619175,WhiteSeymore.2003
Crocidura_crossei,Eulipotyphla,Soricidae,1.033353693974564,1.0086001717619175,WhiteSeymore.2003
Crocidura_flavescens,Eulipotyphla,Soricidae,1.3314656866213326,1.5211380837040362,WhiteSeymore.2003
Crocidura_hildegardeae,Eulipotyphla,Soricidae,1.098079023611219,1,WhiteSeymore.2003
Crocidura_leucodon,Eulipotyphla,Soricidae,1.1573219397166563,1.0681858617461617,WhiteSeymore.2003
Crocidura_luna,Eulipotyphla,Soricidae,1.0775573564666172,1.0718820073061255,WhiteSeymore.2003
Crocidura_olivieri,Eulipotyphla,Soricidae,1.4495185227528007,1.5899496013257077,WhiteSeymore.2003
Crocidura_poensis,Eulipotyphla,Soricidae,1.1758660646672385,1.2380461031287955,WhiteSeymore.2003
Crocidura_russula,Eulipotyphla,Soricidae,1.042941157980289,1.0170333392987803,WhiteSeymore.2003
Crocidura_suaveolens,Eulipotyphla,Soricidae,0.9595674798136451,0.8129133566428556,WhiteSeymore.2003
Crocidura_viaria,Eulipotyphla,Soricidae,1.0274979493255119,1.167317334748176,WhiteSeymore.2003
Cryptotis_parva,Eulipotyphla,Soricidae,0.9664069043439507,0.7923916894982539,WhiteSeymore.2003
Neomys_anomalus,Eulipotyphla,Soricidae,1.5078821381159466,1.1172712956557642,WhiteSeymore.2003
Neomys_fodiens,Eulipotyphla,Soricidae,1.421093001973832,1.2329961103921538,WhiteSeymore.2003
Notiosorex_crawfordi,Eulipotyphla,Soricidae,0.803679606846251,0.6020599913279624,WhiteSeymore.2003
Sorex_alpinus,Eulipotyphla,Soricidae,1.3661527138792506,0.8976270912904415,WhiteSeymore.2003
Sorex_araneus,Eulipotyphla,Soricidae,1.4627021668982256,0.9057958803678685,WhiteSeymore.2003
Sorex_cinereus,Eulipotyphla,Soricidae,1.1814162294300015,0.5440680443502757,WhiteSeymore.2003
Sorex_coronatus,Eulipotyphla,Soricidae,1.398273033488859,0.9590413923210935,WhiteSeymore.2003
Sorex_minutus,Eulipotyphla,Soricidae,1.1716563921408454,0.6020599913279624,WhiteSeymore.2003
