Binomial.1.2,Order.1.2,Family.1.2,Binomial.Source,BM,MR,log10BM,log10MR,MR.type,Source,Comment
Cervus_elaphus,Cetartiodactyla,Cervidae,Cervus_elaphus,58000,7915.508660889601,4.763427993562937,3.898478828423823,BMR,Genoud.2018,NA
Odocoileus_virginianus,Cetartiodactyla,Cervidae,Odocoileus_virginianus,51190,5534.58921654528,4.709185129550246,3.743085392584563,BMR,Genoud.2018,NA
Rangifer_tarandus,Cetartiodactyla,Cervidae,Rangifer_tarandus,94100,10074.311797646133,4.973589623427257,4.003215388044591,BMR,Genoud.2018,NA
Rangifer_tarandus,Cetartiodactyla,Cervidae,Rangifer_tarandus,53400,8721.482914258331,4.727541257028556,3.9405903343276263,BMR,Genoud.2018,NA
Rangifer_tarandus,Cetartiodactyla,Cervidae,Rangifer_tarandus,68600,15394.42061751644,4.836324115706752,4.187363348494139,BMR,Genoud.2018,NA
Sus_scrofa,Cetartiodactyla,Suidae,Sus_scrofa,180000,17125.362069312,5.2552725051033065,4.233639762239909,BMR,Genoud.2018,NA
Pecari_tajacu,Cetartiodactyla,Tayassuidae,Pecari_tajacu,20200,2823.93725551104,4.3053513694466234,3.450855042985981,BMR,Genoud.2018,NA
Tragulus_javanicus,Cetartiodactyla,Tragulidae,Tragulus_javanicus,1613,368.81449708916733,3.2076343673889616,2.566807983645388,BMR,Genoud.2018,NA
Orcinus_orca,Cetartiodactyla,Delphinidae,Orcinus_orca,4037500,186653.6718308045,6.606112535339159,5.27103653774034,BMR,Genoud.2018,NA
Tursiops_truncatus,Cetartiodactyla,Delphinidae,Tursiops_truncatus,148600,28066.31119035648,5.172018809424556,4.448185336220214,BMR,Genoud.2018,NA
Tursiops_truncatus,Cetartiodactyla,Delphinidae,Tursiops_truncatus,190720,20971.27730052864,5.280396238060143,4.32162488290586,BMR,Genoud.2018,NA
Delphinapterus_leucas,Cetartiodactyla,Monodontidae,Delphinapterus_leucas,625000,54998.805305779206,5.795880017344075,4.740353255771646,BMR,Genoud.2018,NA
Phocoena_phocoena,Cetartiodactyla,Phocoenidae,Phocoena_phocoena,28500,8221.330749468674,4.45484486000851,3.914942120505316,BMR,Genoud.2018,NA
Equus_africanus,Perissodactyla,Equidae,Equus_asinus,177500,12471.987824271358,5.249198357391113,4.095935678202727,BMR,Genoud.2018,NA
Equus_africanus,Perissodactyla,Equidae,Equus_asinus,146500,14915.479316373508,5.165837624690128,4.173637214192304,BMR,Genoud.2018,NA
Equus_africanus,Perissodactyla,Equidae,Equus_asinus,106000,16143.164104245658,5.02530586526477,4.207988661633659,BMR,Genoud.2018,NA
Equus_africanus,Perissodactyla,Equidae,Equus_asinus,170000,15757.97482042122,5.230448921378274,4.197500402187118,BMR,Genoud.2018,NA
Equus_ferus,Perissodactyla,Equidae,Equus_caballus,703000,43802.55451684147,5.846955325019824,4.641499438819572,BMR,Genoud.2018,NA
Canis_latrans,Carnivora,Canidae,Canis_latrans,10000,1295.79094278144,4,3.1125349400221887,BMR,Genoud.2018,NA
Canis_lupus,Carnivora,Canidae,Canis_lupus,35500,4003.5505133184,4.550228353055094,3.602445312427814,BMR,Genoud.2018,NA
Canis_lupus,Carnivora,Canidae,Canis_lupus,14730,2123.01462500352,4.168202746842631,3.3269529859401152,BMR,Genoud.2018,NA
Canis_lupus,Carnivora,Canidae,Canis_lupus,14000,2029.4939989247996,4.146128035678238,3.307387771476069,BMR,Genoud.2018,NA
Canis_lupus,Carnivora,Canidae,Canis_lupus,33700,4483.68733586688,4.5276299008713385,3.6516353200152407,BMR,Genoud.2018,NA
Canis_lupus,Carnivora,Canidae,Canis_lupus,17000,2335.6053265536,4.230448921378274,3.368399457027185,BMR,Genoud.2018,NA
Canis_mesomelas,Carnivora,Canidae,Canis_mesomelas,7720,1812.5647116288,3.887617300335736,3.258293520568062,BMR,Genoud.2018,NA
Lycalopex_culpaeus,Carnivora,Canidae,Lycalopex_culpaeus,5418,980.76141111936,3.7338390006971496,2.9915633698297053,BMR,Genoud.2018,NA
Lycaon_pictus,Carnivora,Canidae,Lycaon_pictus,8750,2320.044265678234,3.942008053022313,3.3654962711652083,BMR,Genoud.2018,NA
Cerdocyon_thous,Carnivora,Canidae,Cerdocyon_thous,5444,721.6996355796479,3.735918116531297,2.858356486001961,BMR,Genoud.2018,NA
Nyctereutes_procyonoides,Carnivora,Canidae,Nyctereutes_procyonoides,7575,1291.7415960852477,3.8793826371743423,3.111175644759464,BMR,Genoud.2018,NA
Vulpes_rueppellii,Carnivora,Canidae,Vulpes_rueppellii,1546,385.121794712832,3.189209489582306,2.585598096799005,BMR,Genoud.2018,NA
Vulpes_cana,Carnivora,Canidae,Vulpes_cana,1285,304.279480313856,3.108903127667314,2.483272665841765,BMR,Genoud.2018,NA
Vulpes_zerda,Carnivora,Canidae,Vulpes_zerda,1106,190.89777282048,3.0437551269686796,2.2808008615659134,BMR,Genoud.2018,NA
Vulpes_lagopus,Carnivora,Canidae,Vulpes_lagopus,3410,845.06009028864,3.5327543789924976,2.926887591734196,BMR,Genoud.2018,NA
Vulpes_lagopus,Carnivora,Canidae,Vulpes_lagopus,3970,824.0902591833601,3.598790506763115,2.9159747807730145,BMR,Genoud.2018,NA
Vulpes_macrotis,Carnivora,Canidae,Vulpes_macrotis,1769,519.858985377792,3.2477278329097232,2.7158855548316456,BMR,Genoud.2018,NA
Vulpes_vulpes,Carnivora,Canidae,Vulpes_vulpes,3060,723.57968940288,3.48572142648158,2.8594863678836715,BMR,Genoud.2018,NA
Vulpes_vulpes,Carnivora,Canidae,Vulpes_vulpes,1967,417.70939431552006,3.2938043599193367,2.620874242690337,BMR,Genoud.2018,NA
Fossa_fossana,Carnivora,Eupleridae,Fossa_fossana,2260,436.895584614144,3.3541084391474008,2.640377655633344,BMR,Genoud.2018,NA
Acinonyx_jubatus,Carnivora,Felidae,Acinonyx_jubatus,37900,4330.053193953024,4.578639209968072,3.6364932316185774,BMR,Genoud.2018,NA
Felis_silvestris,Carnivora,Felidae,Felis_catus,3000,635.84384431872,3.4771212547196626,2.8033504711867665,BMR,Genoud.2018,NA
Puma_concolor,Carnivora,Felidae,Puma_concolor,51350,6597.060659212801,4.710540447933297,3.819350477386544,BMR,Genoud.2018,NA
Puma_concolor,Carnivora,Felidae,Puma_concolor,37200,4262.274843300097,4.570542939881897,3.6296414507935073,BMR,Genoud.2018,NA
Leopardus_pardalis,Carnivora,Felidae,Leopardus_pardalis,10500,1507.080068607744,4.021189299069938,3.178136326256753,BMR,Genoud.2018,NA
Leopardus_wiedii,Carnivora,Felidae,Leopardus_wiedii,3550,451.791395675136,3.550228353055094,2.6549379555653263,BMR,Genoud.2018,NA
Leptailurus_serval,Carnivora,Felidae,Leptailurus_serval,10120,1513.6843602432002,4.00518051250378,3.180035323713616,BMR,Genoud.2018,NA
Lynx_rufus,Carnivora,Felidae,Lynx_rufus,9400,2034.603888803328,3.9731278535996992,3.308479870243423,BMR,Genoud.2018,NA
Panthera_leo,Carnivora,Felidae,Panthera_leo,98000,8172.93141514752,4.991226075692495,3.9123778544616914,BMR,Genoud.2018,NA
Panthera_onca,Carnivora,Felidae,Panthera_onca,69000,6186.82327368192,4.838849090737256,3.791467710595573,BMR,Genoud.2018,NA
Panthera_tigris,Carnivora,Felidae,Panthera_tigris,137900,11566.958837672446,5.139564266175849,4.063219190098851,BMR,Genoud.2018,NA
Herpailurus_yagouaroundi,Carnivora,Felidae,Puma_yagouaroundi,8350,837.34704896256,3.921686475483602,2.9229054940875,BMR,Genoud.2018,NA
Herpestes_sanguineus,Carnivora,Herpestidae,Galerella_sanguinea,500,183.1847314944,2.6989700043360187,2.2628892722572114,BMR,Genoud.2018,NA
Suricata_suricatta,Carnivora,Herpestidae,Suricata_suricatta,850,149.584795217664,2.929418925714293,2.174887451224567,BMR,Genoud.2018,NA
Hyaena_hyaena,Carnivora,Hyaenidae,Hyaena_hyaena,34300,2761.317001244928,4.535294120042771,3.441116266830755,BMR,Genoud.2018,NA
Proteles_cristata,Carnivora,Hyaenidae,Proteles_cristata,7710,943.88343227904,3.8870543780509568,2.97491836310752,BMR,Genoud.2018,NA
Proteles_cristata,Carnivora,Hyaenidae,Proteles_cristata,8100,1057.65079183872,3.90848501887865,3.0243422988790933,BMR,Genoud.2018,NA
Mephitis_mephitis,Carnivora,Mephitidae,Mephitis_mephitis,5667,726.7131124416001,3.753353212641496,2.86136299645259,BMR,Genoud.2018,NA
Spilogale_putorius,Carnivora,Mephitidae,Spilogale_putorius,624,128.13289902950402,2.795184589682424,2.107660652247114,BMR,Genoud.2018,NA
Eira_barbara,Carnivora,Mustelidae,Eira_barbara,2950,588.746085721344,3.469822015978163,2.769928032739463,BMR,Genoud.2018,NA
Enhydra_lutris,Carnivora,Mustelidae,Enhydra_lutris,18000,6247.5634741247995,4.2552725051033065,3.795710677174976,BMR,Genoud.2018,NA
Gulo_gulo,Carnivora,Mustelidae,Gulo_gulo,12700,2478.2773084827645,4.103803720955957,3.3941499004281006,BMR,Genoud.2018,NA
Lutra_lutra,Carnivora,Mustelidae,Lutra_lutra,10000,1908.9777282047996,4,3.2808008615659134,BMR,Genoud.2018,NA
