Binomial.1.2,Genus.1.2,Order.1.2,Family.1.2,Binomial.Source,BM,BMR,log10BM,log10BMR,Source,Accepted,Comment
Tragelaphus_oryx,Tragelaphus,Cetartiodactyla,Bovidae,Taurotragus_oryx,383000,36632.43416970424,5.583198773968623,4.563865777833175,Genoud.2018,0,NA
Camelus_dromedarius,Camelus,Cetartiodactyla,Camelidae,Camelus_dromedarius,280800,12293.816569638913,5.448397103457768,4.0896867289257255,Genoud.2018,0,NA
Camelus_dromedarius,Camelus,Cetartiodactyla,Camelidae,Camelus_dromedarius,240000,16045.594131470745,5.380211241711606,4.2053558026557125,Genoud.2018,0,NA
Lama_guanicoe,Lama,Cetartiodactyla,Camelidae,Lama_glama,115000,11321.934797346203,5.060697840353612,4.053920649467998,Genoud.2018,0,NA
Alces_alces,Alces,Cetartiodactyla,Cervidae,Alces_americanus,350000,23768.469585241495,5.544068044350276,4.376001219082741,Genoud.2018,0,NA
Capreolus_capreolus,Capreolus,Cetartiodactyla,Cervidae,Capreolus_capreolus,21500,4153.47275409408,4.332438459915605,3.618411365930326,Genoud.2018,1,NA
Capreolus_capreolus,Capreolus,Cetartiodactyla,Cervidae,Capreolus_capreolus,22100,4837.041041617921,4.344392273685111,3.684579772332134,Genoud.2018,1,NA
Cervus_elaphus,Cervus,Cetartiodactyla,Cervidae,Cervus_elaphus,58000,7915.508660889601,4.763427993562937,3.898478828423823,Genoud.2018,1,NA
Odocoileus_virginianus,Odocoileus,Cetartiodactyla,Cervidae,Odocoileus_virginianus,51190,5534.58921654528,4.709185129550246,3.743085392584563,Genoud.2018,1,NA
Rangifer_tarandus,Rangifer,Cetartiodactyla,Cervidae,Rangifer_tarandus,94100,10074.311797646133,4.973589623427257,4.003215388044591,Genoud.2018,0,NA
Rangifer_tarandus,Rangifer,Cetartiodactyla,Cervidae,Rangifer_tarandus,53400,8721.482914258331,4.727541257028556,3.9405903343276267,Genoud.2018,0,NA
Rangifer_tarandus,Rangifer,Cetartiodactyla,Cervidae,Rangifer_tarandus,68600,15394.42061751644,4.836324115706752,4.187363348494139,Genoud.2018,0,NA
Sus_scrofa,Sus,Cetartiodactyla,Suidae,Sus_scrofa,180000,17125.362069312,5.2552725051033065,4.233639762239909,Genoud.2018,1,NA
Pecari_tajacu,Pecari,Cetartiodactyla,Tayassuidae,Pecari_tajacu,20200,2823.93725551104,4.3053513694466234,3.450855042985981,Genoud.2018,1,NA
Tragulus_javanicus,Tragulus,Cetartiodactyla,Tragulidae,Tragulus_javanicus,1613,368.81449708916733,3.2076343673889616,2.566807983645388,Genoud.2018,0,NA
Orcinus_orca,Orcinus,Cetartiodactyla,Delphinidae,Orcinus_orca,4037500,186653.6718308045,6.606112535339159,5.27103653774034,Genoud.2018,1,NA
Tursiops_truncatus,Tursiops,Cetartiodactyla,Delphinidae,Tursiops_truncatus,148600,28066.311190356482,5.172018809424556,4.448185336220214,Genoud.2018,1,NA
Tursiops_truncatus,Tursiops,Cetartiodactyla,Delphinidae,Tursiops_truncatus,190720,20971.27730052864,5.280396238060143,4.32162488290586,Genoud.2018,1,NA
Delphinapterus_leucas,Delphinapterus,Cetartiodactyla,Monodontidae,Delphinapterus_leucas,625000,54998.805305779206,5.795880017344075,4.740353255771646,Genoud.2018,1,NA
Phocoena_phocoena,Phocoena,Cetartiodactyla,Phocoenidae,Phocoena_phocoena,28500,8221.330749468674,4.45484486000851,3.9149421205053163,Genoud.2018,0,NA
Equus_africanus,Equus,Perissodactyla,Equidae,Equus_asinus,177500,12471.987824271358,5.249198357391113,4.095935678202727,Genoud.2018,0,NA
Equus_africanus,Equus,Perissodactyla,Equidae,Equus_asinus,146500,14915.479316373507,5.165837624690128,4.173637214192304,Genoud.2018,0,NA
Equus_africanus,Equus,Perissodactyla,Equidae,Equus_asinus,106000,16143.164104245658,5.02530586526477,4.207988661633659,Genoud.2018,0,NA
Equus_africanus,Equus,Perissodactyla,Equidae,Equus_asinus,170000,15757.974820421221,5.230448921378274,4.197500402187118,Genoud.2018,0,NA
Equus_ferus,Equus,Perissodactyla,Equidae,Equus_caballus,703000,43802.55451684147,5.846955325019824,4.641499438819572,Genoud.2018,0,NA
Canis_latrans,Canis,Carnivora,Canidae,Canis_latrans,10000,1295.79094278144,4,3.1125349400221887,Genoud.2018,1,NA
Canis_lupus,Canis,Carnivora,Canidae,Canis_lupus,35500,4003.5505133184,4.550228353055094,3.602445312427814,Genoud.2018,1,NA
Canis_lupus,Canis,Carnivora,Canidae,Canis_lupus,14730,2123.01462500352,4.168202746842631,3.3269529859401152,Genoud.2018,1,NA
Canis_lupus,Canis,Carnivora,Canidae,Canis_lupus,14000,2029.4939989247996,4.146128035678238,3.307387771476069,Genoud.2018,1,NA
Canis_lupus,Canis,Carnivora,Canidae,Canis_lupus,33700,4483.68733586688,4.5276299008713385,3.6516353200152407,Genoud.2018,1,NA
