Binomial.1.2,Order.1.2,Family.1.2,Binomial.Source,BM,MR,log10BM,log10MR,MR.type,Source,Comment
Myrmecobius_fasciatus,Dasyuromorphia,Myrmecobiidae,Myrmecobius_fasciatus,547,309.5,2.737987326333431,2.490660653356137,FMR,Hudson.2013,NA
Myrmecobius_fasciatus,Dasyuromorphia,Myrmecobiidae,Myrmecobius_fasciatus,408,198.8,2.61066016308988,2.2984163800612945,FMR,Hudson.2013,NA
Myrmecobius_fasciatus,Dasyuromorphia,Myrmecobiidae,Myrmecobius_fasciatus,522,211.7,2.717670503002262,2.325720858019412,FMR,Hudson.2013,NA
Myrmecobius_fasciatus,Dasyuromorphia,Myrmecobiidae,Myrmecobius_fasciatus,428,262.2,2.6314437690131722,2.4186326873540653,FMR,Hudson.2013,NA
Myrmecobius_fasciatus,Dasyuromorphia,Myrmecobiidae,Myrmecobius_fasciatus,520,362.5,2.716003343634799,2.5593080109070123,FMR,Hudson.2013,NA
Aplodontia_rufa,Rodentia,Aplodontiidae,Aplodontia_rufa,787,1502,2.8959747323590648,3.17666993266815,FMR,Hudson.2013,NA
Aplodontia_rufa,Rodentia,Aplodontiidae,Aplodontia_rufa,910,2246,2.9590413923210934,3.351409751925439,FMR,Hudson.2013,NA
Aplodontia_rufa,Rodentia,Aplodontiidae,Aplodontia_rufa,622,1213,2.7937903846908188,3.083860800866573,FMR,Hudson.2013,NA
Aplodontia_rufa,Rodentia,Aplodontiidae,Aplodontia_rufa,549,948,2.739572344450092,2.976808337338066,FMR,Hudson.2013,NA
Lontra_canadensis,Carnivora,Mustelidae,Lontra_canadensis,6875,5433,3.8372727025023003,3.7350397050337207,FMR,Hudson.2013,NA
Lontra_canadensis,Carnivora,Mustelidae,Lontra_canadensis,6985,3979,3.844166410450201,3.599773939146388,FMR,Hudson.2013,NA
Lontra_canadensis,Carnivora,Mustelidae,Lontra_canadensis,8950,7171,3.951823035315912,3.8555797225017177,FMR,Hudson.2013,NA
Lontra_canadensis,Carnivora,Mustelidae,Lontra_canadensis,7950,2899,3.9003671286564705,3.4622482153549976,FMR,Hudson.2013,NA
Lontra_canadensis,Carnivora,Mustelidae,Lontra_canadensis,8450,4208,3.926856708949692,3.6240757311456826,FMR,Hudson.2013,NA
Lepilemur_ruficaudatus,Primates,Lepilemuridae,Lepilemur_ruficaudatus,682,444.7,2.833784374656479,2.6480671294489344,FMR,Hudson.2013,NA
Lepilemur_ruficaudatus,Primates,Lepilemuridae,Lepilemur_ruficaudatus,877.5,466.6,2.943247125137862,2.668944734457734,FMR,Hudson.2013,NA
Lepilemur_ruficaudatus,Primates,Lepilemuridae,Lepilemur_ruficaudatus,940.25,595.75,2.973243342094437,2.775064051018494,FMR,Hudson.2013,NA
Lepilemur_ruficaudatus,Primates,Lepilemuridae,Lepilemur_ruficaudatus,659.5,218.9,2.819214799882384,2.3402457615679317,FMR,Hudson.2013,NA
Lepilemur_ruficaudatus,Primates,Lepilemuridae,Lepilemur_ruficaudatus,831.5,852.7,2.919862253555538,2.9307962629833004,FMR,Hudson.2013,NA
Lepilemur_ruficaudatus,Primates,Lepilemuridae,Lepilemur_ruficaudatus,760.5,423.9,2.8810992183890174,2.627263416568221,FMR,Hudson.2013,NA
Lepilemur_ruficaudatus,Primates,Lepilemuridae,Lepilemur_ruficaudatus,733.5,270.9,2.8654001181793016,2.4328090050331683,FMR,Hudson.2013,NA
Lepilemur_ruficaudatus,Primates,Lepilemuridae,Lepilemur_ruficaudatus,738.5,822,2.8683504996479683,2.9148718175400505,FMR,Hudson.2013,NA
Lepilemur_ruficaudatus,Primates,Lepilemuridae,Lepilemur_ruficaudatus,513,401.3,2.7101173651118162,2.6034691597338386,FMR,Hudson.2013,NA
Lepilemur_ruficaudatus,Primates,Lepilemuridae,Lepilemur_ruficaudatus,470,241.8,2.6720978579357175,2.383456296524753,FMR,Hudson.2013,NA
Phascolarctos_cinereus,Diprotodontia,Phascolarctidae,Phascolarctos_cinereus,7100,1284.39,3.8512583487190755,3.1086969155788893,FMR,Hudson.2013,NA
Phascolarctos_cinereus,Diprotodontia,Phascolarctidae,Phascolarctos_cinereus,6300,1153.74,3.7993405494535817,3.0621079498184622,FMR,Hudson.2013,NA
Phascolarctos_cinereus,Diprotodontia,Phascolarctidae,Phascolarctos_cinereus,9200,1791.92,3.963787827345555,3.253318616746809,FMR,Hudson.2013,NA
Phascolarctos_cinereus,Diprotodontia,Phascolarctidae,Phascolarctos_cinereus,8150,1519.865,3.9111576087399764,3.1818050140244862,FMR,Hudson.2013,NA
Phascolarctos_cinereus,Diprotodontia,Phascolarctidae,Phascolarctos_cinereus,7100,1815.115,3.8512583487190755,3.258904145781631,FMR,Hudson.2013,NA
Phascolarctos_cinereus,Diprotodontia,Phascolarctidae,Phascolarctos_cinereus,6400,1542.4,3.806179973983887,3.1881970165587554,FMR,Hudson.2013,NA
Phascolarctos_cinereus,Diprotodontia,Phascolarctidae,Phascolarctos_cinereus,6600,779.46,3.8195439355418688,2.8917938331553836,FMR,Hudson.2013,NA
Lasiorhinus_krefftii,Diprotodontia,Vombatidae,Lasiorhinus_krefftii,27398.5,3383.22,4.437726786924222,3.529330239490453,FMR,Hudson.2013,NA
Lasiorhinus_krefftii,Diprotodontia,Vombatidae,Lasiorhinus_krefftii,29492,4483.56,4.469704225231061,3.651622985959478,FMR,Hudson.2013,NA
Lasiorhinus_krefftii,Diprotodontia,Vombatidae,Lasiorhinus_krefftii,22490.5,3653.72,4.351999110608028,3.562735262470742,FMR,Hudson.2013,NA
Lasiorhinus_latifrons,Diprotodontia,Vombatidae,Lasiorhinus_latifrons,23119,6943.805,4.363969044978839,3.8415975162276115,FMR,Hudson.2013,NA
Lasiorhinus_latifrons,Diprotodontia,Vombatidae,Lasiorhinus_latifrons,23254,4096.005,4.366497668129632,3.612360478112082,FMR,Hudson.2013,NA
Lasiorhinus_latifrons,Diprotodontia,Vombatidae,Lasiorhinus_latifrons,26951.5,6808.93,4.4305829410847,3.833078869386156,FMR,Hudson.2013,NA
Vombatus_ursinus,Diprotodontia,Vombatidae,Vombatus_ursinus,34387,7415.31,4.536394288637445,3.870129311598412,FMR,Hudson.2013,NA
Vombatus_ursinus,Diprotodontia,Vombatidae,Vombatus_ursinus,33813.5,4067.36,4.529090126459811,3.6093126132932594,FMR,Hudson.2013,NA
Vombatus_ursinus,Diprotodontia,Vombatidae,Vombatus_ursinus,35180.5,1841.66,4.546302007540369,3.2652094555279185,FMR,Hudson.2013,NA
Vombatus_ursinus,Diprotodontia,Vombatidae,Vombatus_ursinus,38572.75,8752.56,4.586280602497122,3.9421350965955506,FMR,Hudson.2013,NA
Vombatus_ursinus,Diprotodontia,Vombatidae,Vombatus_ursinus,28424,4918.3,4.453685194481271,3.691815015734726,FMR,Hudson.2013,NA
Vombatus_ursinus,Diprotodontia,Vombatidae,Vombatus_ursinus,33227,10988.56,4.521491131460435,4.040940783867622,FMR,Hudson.2013,NA
Vombatus_ursinus,Diprotodontia,Vombatidae,Vombatus_ursinus,25795,9017.04,4.411535532209327,3.955063996229401,FMR,Hudson.2013,NA
Petauroides_volans,Diprotodontia,Pseudocheiridae,Petauroides_volans,908,474.88,2.958085848521085,2.6765838792629144,FMR,Hudson.2013,NA
Petauroides_volans,Diprotodontia,Pseudocheiridae,Petauroides_volans,1042.5,554.38,3.018076063645795,2.7438075541320446,FMR,Hudson.2013,NA
Petauroides_volans,Diprotodontia,Pseudocheiridae,Petauroides_volans,1062.5,620.1,3.026328938722349,2.792461731346951,FMR,Hudson.2013,NA
