Binomial.1.2,Order.1.2,Family.1.2,log10BM,log10.bmr.median,log10.bmr.mean,sd,log10.bmr.lower.95hpd,log10.bmr.upper.95hpd,log10.fmr.median,log10.fmr.mean,sd1,log10.fmr.lower.95hpd,log10.fmr.upper.95hpd,bmr.median,bmr.mean,bmr.lower.95hpd,bmr.upper.95hpd,fmr.median,fmr.mean,fmr.lower.95hpd,fmr.upper.95hpd
Abditomys_latidens,Rodentia,Muridae,2.429752280002408,1.9444702809573005,1.944593172731726,0.07611766297022722,1.7951921691914465,2.094708375401461,2.370908830680973,2.3711551103547266,0.07679247376748159,2.212405051418308,2.5141950857626885,87.99748923953193,88.02239330400543,62.401089043287236,124.36792126032033,234.91396256771847,235.04721533432246,163.08163294606746,326.7345688936864
Abeomelomys_sevia,Rodentia,Muridae,1.7160033436347992,1.4366018144041428,1.4370411297662102,0.07754588134661357,1.2857052279800596,1.5889230243002672,1.8951605960377587,1.8958734178650105,0.07789216627862994,1.7390308513788877,2.0450952397653572,27.327620274859044,27.355277816143,19.306574622778356,38.80815751135421,78.5526057481706,78.68164259265916,54.83159147622772,110.94180813811954
Abrawayaomys_ruschii,Rodentia,Cricetidae,1.7993405494535817,1.5991152145253102,1.598156054381759,0.07947436557517805,1.4401835357329245,1.754622704338836,2.053897117976014,2.0532204617841168,0.0805547585206125,1.8949941587936,2.213028392678668,39.729693488977986,39.64204538305241,27.553929046658922,56.835895141295694,113.21321354598581,113.03695808458717,78.52250733601359,163.31587147007707
Abrocoma_bennettii,Rodentia,Abrocomidae,2.3979400086720375,1.9007129590853378,1.899301166007271,0.11372749033707312,1.678514033564448,2.1200973430648347,2.3287674210611673,2.3273014149088658,0.11431225161861067,2.104036519229214,2.5473379535586775,79.56333137939053,79.30510893334574,47.69952272441648,131.85522466478338,213.19029034561603,212.47185762176312,127.06809505400906,352.6451810805429
Abrocoma_boliviensis,Rodentia,Abrocomidae,2.1986570869544226,1.7527708157285646,1.75326217886817,0.11172973516878183,1.5282452937558786,1.9660378289853577,2.1898176663744584,2.1902725003597108,0.11230882966127509,1.975546912223077,2.412233604702116,56.59405541736731,56.65812247564149,33.747786562704775,92.4778722779293,154.81665022566645,154.97887370046644,94.52504923036048,258.3649548347994
Abrocoma_budini,Rodentia,Abrocomidae,2.5571461423183632,2.0186987222539248,2.0180770140679334,0.1129806093812187,1.7955109390086397,2.2396660587216366,2.4397869780490957,2.438879160851422,0.11344708285421601,2.2099932540629315,2.655027946506209,104.39957296932266,104.25022814385275,62.44690792084703,173.64650982758997,275.2878082208198,274.7129678736914,162.17849058256746,451.8850218828905
Abrocoma_cinerea,Rodentia,Abrocomidae,2.3979400086720375,1.8985509221220442,1.8997046102032527,0.1133199104825508,1.6783614056089162,2.120845610721382,2.326293360405474,2.3277048591048475,0.11393481922624292,2.107841196819502,2.5547470723780745,79.16822759235862,79.37881480124186,47.682762204079054,132.0826004400216,211.97925446798186,212.6693281615574,128.18617741469345,358.71296389965534
Abrocoma_famatina,Rodentia,Abrocomidae,2.3681008517093516,1.8799299272784675,1.878943960500549,0.11306230212038747,1.6642005244669458,2.1107650459332725,2.3090886129159616,2.308293311311828,0.11358304745062012,2.088422198897531,2.534037066200722,75.84551896217333,75.6735242846876,46.15306254369157,129.0520910675466,203.74577556904893,203.37300761510502,122.58072874047639,342.0086310485246
Abrocoma_shistacea,Rodentia,Abrocomidae,2.4413808849165113,1.932726838141872,1.9322676613422058,0.11339411604032212,1.7184937849739337,2.160013145309199,2.358651097818589,2.3583038410452963,0.11388277034277994,2.141151856773901,2.58667997583242,85.64989564109396,85.55938640582178,52.2990481807221,144.54835222580212,228.3763343334686,228.1938002812443,138.405024573184,386.08237471635476
Abrocoma_uspallata,Rodentia,Abrocomidae,2.390581878550435,1.8960207671815776,1.894784311450834,0.11258698265516616,1.6717802941402304,2.1105810086931696,2.3243002493601246,2.323117239570249,0.11318079328996929,2.106983730719898,2.5488586571958725,78.70834257100596,78.48457510364908,46.96564533180734,128.99741535758406,211.00864534146055,210.43464400174815,127.93333776380902,353.88215003732955
Abrocoma_vaccarum,Rodentia,Abrocomidae,2.405346360175709,1.907076042253375,1.9069022106123474,0.11304099163375475,1.6819679509410705,2.1213251078980417,2.3351034971165414,2.3345676000884605,0.11359213796101879,2.107618840389691,2.5513456781382486,80.73763844394857,80.7053286901939,48.08038658897195,132.22851113445412,216.32339845807064,216.0566311456587,128.12056358238104,355.9144971841089
Abrothrix_andinus,Rodentia,Cricetidae,1.255272505103306,1.2228877559386442,1.2235354554868938,0.05376195770223424,1.1156831480698575,1.3259811655144063,1.7031308367981663,1.703198521576182,0.056128136207993694,1.591254063375828,1.8125552236639404,16.70658774237962,16.731522257586978,13.052182814369521,21.182692681426428,50.4813356173561,50.489203744645046,39.017017046746744,64.94642103668453
Abrothrix_illutea,Rodentia,Cricetidae,1.6794278966121188,1.5280146866619215,1.5279586422104443,0.05772999839111815,1.41522952690153,1.6396195126161865,1.988501883470073,1.9884445965132713,0.05950454963187914,1.8720411922940245,2.1048275158488656,33.72987149940611,33.725519037523554,26.01534124271555,43.61335661981186,97.38720088564067,97.37435557293213,74.48026141618777,127.29973976774072
Abrothrix_jelskii,Rodentia,Cricetidae,1.5378190950732742,1.4236813722616084,1.424080702952636,0.05886389877568647,1.3087841995839709,1.5385772986161093,1.890875298569688,1.8909691405703561,0.06069029885244191,1.7745456357045324,2.012144677819844,26.52658678470692,26.550989009936576,20.36030125338748,34.56028367920516,77.78131810757624,77.79812684787692,59.503928025682214,102.83588213206524
