Binomial.1.2,Order.1.2,Family.1.2,log10BM,log10.bmr.median,log10.bmr.mean,sd.bmr,log10.bmr.lower.95hpd,log10.bmr.upper.95hpd,log10.fmr.median,log10.fmr.mean,sd.fmr,log10.fmr.lower.95hpd,log10.fmr.upper.95hpd,bmr.median,bmr.mean,bmr.lower.95hpd,bmr.upper.95hpd,fmr.median,fmr.mean,fmr.lower.95hpd,fmr.upper.95hpd
Abditomys_latidens,Rodentia,Muridae,2.429752280002408,1.9426266026839878,1.9436433586196464,0.0755656589956516,1.7929876175048225,2.091309738224046,2.3692882360412875,2.369927715471553,0.07639536712069757,2.2200606111415815,2.5216365461025187,87.62471182279675,87.83009623761916,62.08513324204718,123.39845955764548,234.0390012118081,234.38386713497118,165.98185393849613,332.381272454543
Abeomelomys_sevia,Rodentia,Muridae,1.7160033436347992,1.436419529040473,1.4379761096153916,0.07734045525317386,1.2856186243959316,1.5885047313249796,1.8951582376340297,1.8965945648564184,0.07818584218728614,1.747196501532413,2.052559263819891,27.316152526285013,27.414233630581602,19.302725041607218,38.7707972285951,78.5521791752736,78.81240217536752,55.87229381724722,112.86499425776441
Abrawayaomys_ruschii,Rodentia,Cricetidae,1.7993405494535817,1.5985097035602047,1.598259106603346,0.07829459188324644,1.4471753226731074,1.755737554294906,2.053643388365809,2.053102237952288,0.07963499663339188,1.8913452130586024,2.2058665030916145,39.674339337860346,39.65145302172867,28.00111483549406,56.98198240626343,113.14708985306902,113.0061913027977,77.86552444956679,160.64473744791763
Abrocoma_bennettii,Rodentia,Abrocomidae,2.3979400086720375,1.904448787027838,1.9033927056626059,0.11382818613710158,1.6884394852240496,2.13292409035266,2.3313402305876725,2.331118215080585,0.11439675839924178,2.1137074336842088,2.559369321093868,80.25069218898919,80.05578227873075,48.80220953054761,135.80760498704316,214.4570020538343,214.34739759404619,129.9294002259652,362.55117843422863
Abrocoma_boliviensis,Rodentia,Abrocomidae,2.1986570869544226,1.7613402350572631,1.7600264301933741,0.11295590540646912,1.5461295240304658,1.984887237377702,2.198102182040481,2.1967798109954866,0.11366511604814865,1.9737810584586264,2.4172394939611705,57.72184909142302,57.5474958393732,35.16653055865528,96.58000807550174,157.79824982344613,157.31850512491175,94.14148799498666,261.36022416821453
Abrocoma_budini,Rodentia,Abrocomidae,2.5571461423183632,2.017604729734663,2.019373461302653,0.11299584975598867,1.799242796182589,2.240971881472596,2.4374572192162454,2.4398866492344946,0.1133920430585536,2.219083477743406,2.6627246978312984,104.13692026193291,104.561898812967,62.985821226627564,174.16941032302134,273.81498957040617,275.35099440465393,165.60882572326474,459.96490632425645
Abrocoma_cinerea,Rodentia,Abrocomidae,2.3979400086720375,1.9042170662002516,1.9037181465728938,0.11418520183243265,1.6828538709463934,2.128649367929887,2.330532178865466,2.3314436559908724,0.11467672066165215,2.1014707628084146,2.547892416818231,80.20788529754138,80.11579499319349,48.178566172093916,134.4774198519609,214.05835265245088,214.50808016813983,126.31960611692863,353.0956902938724
Abrocoma_famatina,Rodentia,Abrocomidae,2.3681008517093516,1.8805197113971628,1.881696381570169,0.11335601357080187,1.6676764497997083,2.1073080229422705,2.3079930867758685,2.3107736579581837,0.11401161841307185,2.0945592021297115,2.537604029606702,75.94858928003866,76.15464212388561,46.523936018808534,128.0289025975476,203.2324659551871,204.53783653458422,124.32521018608318,344.8291960397247
Abrocoma_shistacea,Rodentia,Abrocomidae,2.4413808849165113,1.9328870203557496,1.9335255358524592,0.11333157258953441,1.7192213243229917,2.162568842371014,2.358178768917541,2.3592830961849423,0.11386162858232009,2.1416121160981625,2.587198455163639,85.68149199081752,85.80755667725613,52.38673408423522,145.40148511118426,228.12809238943188,228.70891636338436,138.5517820684497,386.5435716150606
Abrocoma_uspallata,Rodentia,Abrocomidae,2.390581878550435,1.8981085082334448,1.8986415888936694,0.1132031280779639,1.674225155027276,2.12196768664397,2.32519898483265,2.3267004347149536,0.11368541021980229,2.1131038566646954,2.562752202849315,79.08762032938917,79.18475710683094,47.23078404214454,132.42430022191604,211.44576190826615,212.17804069782542,129.74895139825898,365.3862522205002
Abrocoma_vaccarum,Rodentia,Abrocomidae,2.405346360175709,1.907884464693543,1.908188066232315,0.11297853432657318,1.6926316991214896,2.1346505787412977,2.334587124157389,2.3355780547324727,0.11355545611291258,2.108383555550549,2.5499437893942627,80.88806841260624,80.94463447280971,49.27557481039623,136.3485672511667,216.0663443691851,216.55990623928056,128.34635978986262,354.76746881384094
Abrothrix_andinus,Rodentia,Cricetidae,1.255272505103306,1.2226490090770668,1.2231006178210944,0.05350377477360456,1.1176190203339966,1.3276576389938928,1.7023491260053731,1.7025910008576204,0.056173779580961244,1.591108213766805,1.812165351388533,16.69740607093484,16.714778192662795,13.110492920253296,21.264620623905753,50.39055318037014,50.41862538201639,39.003916117579024,64.8881438814811
Abrothrix_illutea,Rodentia,Cricetidae,1.6794278966121188,1.5290940578770942,1.5284910158423768,0.056667827535668555,1.4182919158664826,1.64075045589789,1.9894714509473825,1.9887664039941215,0.05868937817502675,1.874871015752375,2.104836837504831,33.81380609548485,33.766886328578856,26.199434406297193,43.72707786875948,97.60486181812456,97.446535648854,74.9671525917442,127.30247214672121
Abrothrix_jelskii,Rodentia,Cricetidae,1.5378190950732742,1.425187847836542,1.42520656710602,0.05871775708085687,1.315893006885796,1.5451800714163422,1.89209976750454,1.8918970862490971,0.06094788693612062,1.7802866074894426,2.01671005220721,26.618761671134614,26.61990903664925,20.696314100331485,35.089733627193326,78.00092761457698,77.96453378934257,60.295736936419466,103.92261161944351
