(Intercept),log10BM,MR.typeFMR,log10BM:MR.typeFMR,random.effect,tree,chain
0.37014153203199385,0.7221391118800966,0.5847379826909673,-0.04283518937882036,-0.15419013279689728,23,1
-0.24881938853650354,0.7446144417517644,0.5728645753897581,-0.03506242785442737,0.4243082496452473,23,2
0.11805324588931398,0.7474456404015655,0.572048171008646,-0.039402221227646805,0.0587295901284717,23,3
-0.06471804299508221,0.7031688351125922,0.5997233124871855,-0.045956121139170136,0.31993599425579516,14,1
-0.11984291286353255,0.7349191744360724,0.6045162302616518,-0.04725613121991046,0.3076964880200953,14,2
-0.004060395222040825,0.7408869257342303,0.6127610810872284,-0.055481242983660195,0.18659644340504825,14,3
0.04703127192624379,0.7267667160485871,0.5847109361784533,-0.040758309507509694,0.1624080196276437,1,1
0.12044797183079936,0.7295473019476049,0.5901385554698209,-0.04160651774782309,0.0867941362117693,1,2
-0.10766551162214455,0.7556048289552564,0.606253117963206,-0.05626989129814319,0.2614243204456658,1,3
-0.022691988023325393,0.7187667359212355,0.5817225948994746,-0.046512341368725174,0.2578965148746892,6,1
0.03832524694735184,0.7482465016219066,0.6185603682183682,-0.05139346978830872,0.1198865337068699,6,2
0.1301370340079302,0.7310665865370538,0.5800257587106898,-0.03860768429876771,0.08476379644118895,6,3
0.2324887462091283,0.721362604846945,0.5973139378256747,-0.04928327820380218,-0.008582637974947382,25,1
0.09695272703538649,0.7359426611237723,0.5934541605820414,-0.044188924388436135,0.08861008582761723,25,2
-0.11385852026796783,0.7386895195304533,0.6085907039960148,-0.05235245334552019,0.3010785188649831,25,3
-0.011209585121832788,0.7445489335223101,0.6099384297267534,-0.04970385144406464,0.17662183397580627,18,1
-0.17217156641709153,0.7471757778876054,0.6476148303772788,-0.059800820192322135,0.3443678338719917,18,2
0.08846283541060984,0.7422617734555388,0.5614367210582714,-0.03199947060784325,0.0879326647601489,18,3
-0.04274113033534377,0.7488441354362294,0.6377152245113393,-0.054520913647138514,0.19299960515287368,3,1
-0.05661312157462817,0.7396052766707726,0.6017542318149935,-0.043841744685778394,0.22616512092223234,3,2
0.2748446988698561,0.7416738147730939,0.6281881075847195,-0.06114282405178528,-0.08789408668649414,3,3
-0.1682745482539758,0.7258438892822596,0.6003097456705291,-0.04861999648892379,0.37508418170017244,20,1
-0.22284673762624152,0.7329857331060339,0.6025855544103251,-0.04815750214220316,0.4170731934808149,20,2
-0.05975975698675029,0.7353291367617203,0.6203636103427925,-0.049775493098422885,0.24533432966272392,20,3
0.0926637387892697,0.7389129556177068,0.5699460780597292,-0.04170394172615488,0.0974611709044063,8,1
0.24927891977131367,0.748856151883956,0.606491747268592,-0.05101696700876346,-0.08544580945896565,8,2
0.158006428508088,0.7389808544976404,0.6313866751152091,-0.058141386980423704,0.022183551597406106,8,3
