Binomial.Source,Binomial.1.2,Source
Arvicola_terrestris,Arvicola_amphibius,Capellini.2010
Auliscomys_micropus,Loxodontomys_micropus,Capellini.2010
Baimomys_taylori,Baiomys_taylori,Capellini.2010
Cavia_porcellus,Cavia_tschudii,Capellini.2010
Perognathus_formosus,Chaetodipus_formosus,Capellini.2010
Chroeomys_andinus,Abrothrix_andinus,Capellini.2010
Akodon_olivaceus,Abrothrix_olivaceus,Capellini.2010
Clethrionomys_californicus,Myodes_californicus,Capellini.2010
Clethrionomys_gapperi,Myodes_gapperi,Capellini.2010
Clethrionomys_glareolus,Myodes_glareolus,Capellini.2010
Clethrionomys_rufocanus,Myodes_rufocanus,Capellini.2010
Clethrionomys_rutilus,Myodes_rutilus,Capellini.2010
Cynomys_ludovicanus,Cynomys_ludovicianus,Capellini.2010
Epixerus_wilsoni,Epixerus_ebii,Capellini.2010
Funisciurus_lemnisciatus,Funisciurus_lemniscatus,Capellini.2010
Funisciurus_pyrrhopus,Funisciurus_pyrropus,Capellini.2010
Geomys_bursaris,Geomys_bursarius,Capellini.2010
Gerbillus_allenbyi,Gerbillus_andersoni,Capellini.2010
Heliophobius_argentocinereus,Heliophobius_argenteocinereus,Capellini.2010
Hydrochaeris_hydrochaeris,Hydrochoerus_hydrochaeris,Capellini.2010
Lemmus_sibericus,Lemmus_sibiricus,Capellini.2010
Liomys_salvani,Heteromys_salvini,Capellini.2010
Praomys_natalensis,Mastomys_natalensis,Capellini.2010
Meriones_hurriane,Meriones_hurrianae,Capellini.2010
Microtus_agrestris,Microtus_agrestis,Capellini.2010
Myoxus_glis,Glis_glis,Capellini.2010
Nannospalax_ehrenbergi,Spalax_ehrenbergi,Capellini.2010
Nannospalax_leucodon,Spalax_leucodon,Capellini.2010
Peromyscus_oreas,Peromyscus_keeni,Capellini.2010
Peromyscus_sitkensis,Peromyscus_keeni,Capellini.2010
Pseudomys_gracilicaudus,Pseudomys_gracilicaudatus,Capellini.2010
Spermophilus_parryi,Urocitellus_parryii,Capellini.2010
Spermophilus_richardsoni,Urocitellus_richardsonii,Capellini.2010
Tachyorcyctes_splendens,Tachyoryctes_splendens,Capellini.2010
Tatera_afra,Gerbilliscus_afra,Capellini.2010
Tatera_leucogaster,Gerbilliscus_leucogaster,Capellini.2010
Zapus_hudsonicus,Zapus_hudsonius,Capellini.2010
Ptilocerus_lowii,Ptilocercus_lowii,Capellini.2010
Chaetophractus_vellorosus,Chaetophractus_vellerosus,Capellini.2010
Zaedyus_pichi,Zaedyus_pichiy,Capellini.2010
Sminthopsis_laniger,Antechinomys_laniger,Capellini.2010
Dasycercus_cristicaudata,Dasycercus_cristicauda,Capellini.2010
Dasycercus_byrnei,Dasyuroides_byrnei,Capellini.2010
Dasyurus_geoffroyi,Dasyurus_geoffroii,Capellini.2010
Paranthechinus_apicalis,Parantechinus_apicalis,Capellini.2010
Sarcophilus_laniarius,Sarcophilus_harrisii,Capellini.2010
Aepyprimnus_rufescens,Aepyprymnus_rufescens,Capellini.2010
Cercartetus_conncinnus,Cercartetus_concinnus,Capellini.2010
Pseudocheirus_herbertensis,Pseudochirulus_herbertensis,Capellini.2010
Echymipera_kalabu,Echymipera_kalubu,Capellini.2010
Perameles_gunni,Perameles_gunnii,Capellini.2010
Galerella_sanguinea,Herpestes_sanguineus,Capellini.2010
Manis_tetradactyla,Phataginus_tetradactyla,Capellini.2010
Manis_tricuspis,Phataginus_tricuspis,Capellini.2010
Callithrix_pygmaea,Cebuella_pygmaea,Capellini.2010
Ningaui_yvonnae,Ningaui_yvonneae,Capellini.2010
Trichosurus_arnhemensis,Trichosurus_vulpecula,Capellini.2010
Zaglossus_bruijni,Zaglossus_bruijnii,Capellini.2010
Alopex_lagopus,Vulpes_lagopus,Capellini.2010
Cryptomys_bocagei,Fukomys_bocagei,Capellini.2010
Cryptomys_damarensis,Fukomys_damarensis,Capellini.2010
Cryptomys_mechowi,Fukomys_mechowi,Capellini.2010
Liomys_irroratus,Heteromys_irroratus,Capellini.2010
Spermophilus_armatus,Urocitellus_armatus,Capellini.2010
Spermophilus_beecheyi,Otospermophilus_beecheyi,Capellini.2010
Spermophilus_beldingi,Urocitellus_beldingi,Capellini.2010
Spermophilus_lateralis,Callospermophilus_lateralis,Capellini.2010
Spermophilus_mohavensis,Xerospermophilus_mohavensis,Capellini.2010
Spermophilus_saturatus,Callospermophilus_saturatus,Capellini.2010
Spermophilus_spilosoma,Xerospermophilus_spilosoma,Capellini.2010
Spermophilus_tereticaudus,Xerospermophilus_tereticaudus,Capellini.2010
Spermophilus_townsendii,Urocitellus_townsendii,Capellini.2010
Spermophilus_tridecemlineatus,Ictidomys_tridecemlineatus,Capellini.2010
Spermophilus_undulatus,Urocitellus_undulatus,Capellini.2010
Tamias_alpinus,Neotamias_alpinus,Capellini.2010
Tamias_amoenus,Neotamias_amoenus,Capellini.2010
Tamias_merriami,Neotamias_merriami,Capellini.2010
Tamias_minimus,Neotamias_minimus,Capellini.2010
Tamias_palmeri,Neotamias_palmeri,Capellini.2010
Chaetophractus_nationi,Chaetophractus_vellerosus,Capellini.2010
Lama_glama,Lama_guanicoe,Hudson.2013
